Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56x1 cpr riv 500 mg;2852,73;1728,51;-;DR. REDDY'S Srl;049397021;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ABIRATERONE*56x1 cpr riv 500 mg;2852,73;1728,51;-;ACCORD HEALTHCARE SLU;049479025;KII;
Abiraterone;ABIRATERONE 500MG 56 UNITA' USO ORALE;ZYTIGA*56 cpr riv 500 mg;5352,21;3242,98;-;JANSSEN CILAG INTERNAT.N.V.;041427028;KII;
Abiraterone;ABIRATERONE 1000MG 28 UNITA' USO ORALE;ABIRATERONE*28 cpr riv 1.000 mg;2852,73;1728,51;-;SANDOZ GMBH;048749016;MKD;
Abiraterone;ABIRATERONE 1000MG 28 UNITA' USO ORALE;ABIRATERONE*28 cpr riv 1.000 mg flacone;2852,73;1728,51;-;MYLAN IRELAND LIMITED;049686090;MKD;
Abrocitinib;ABROCITINIB 50MG 28 UNITA' USO ORALE;CIBINQO*28 cpr riv 50 mg;2097,19;1270,72;-;PFIZER EUROPE MA EEIG;049826047;MCJ;
Abrocitinib;ABROCITINIB 100MG 28 UNITA' USO ORALE;CIBINQO*28 cpr riv 100 mg;2097,19;1270,72;-;PFIZER EUROPE MA EEIG;049826098;MCK;
Abrocitinib;ABROCITINIB 100MG 91 UNITA' USO ORALE;CIBINQO*91 cpr riv 100 mg;6815,88;4129,84;-;PFIZER EUROPE MA EEIG;049826100;MKK;
Abrocitinib;ABROCITINIB 200MG 28 UNITA' USO ORALE;CIBINQO*7x4 cpr riv 200 mg;2097,19;1270,72;-;PFIZER EUROPE MA EEIG;049826148;UZD;
Acalabrutinib;ACALABRUTINIB 100MG 56 UNITA' USO ORALE;CALQUENCE*56 cpr riv 100 mg;8876,93;5378,65;-;ASTRAZENECA AB;049155031;LHH;
Acalabrutinib;ACALABRUTINIB 100MG 56 UNITA' USO ORALE;CALQUENCE*56 cps 100 mg;8876,93;5378,65;-;ASTRAZENECA AB;049155017;LHH;
Aciclovir;ACICLOVIR 250MG 10 UNITA' USO PARENTERALE;ACICLOVIR*10 flaconcini polv soluz infus 250 mg;67,03;40,61;-;HIKMA FARMACEUTICA S.A.;043130032;JXL;
Acido aminolevulinico;ACIDO AMINOLEVULINICO 8MG 4 CEROTTI USO TOPICO;ALACARE*4 cerotti medicati 8 mg;231,94;140,53;-;PHOTONAMIC GMBH & Co.KG;039701014;KCV;
Acido colico;ACIDO COLICO 50MG 30 UNITA' USO ORALE;ORPHACOL*30 cps 50 mg;4010,47;2430,00;-;THERAVIA;043028012;JVG;
Acido colico;ACIDO COLICO 250MG 30 UNITA' USO ORALE;ORPHACOL*30 cps 250 mg;13912,86;8430,00;-;THERAVIA;043028048;JVI;
Acido diatrizoico;ACIDO DIATRIZOICO 370MG IODIO/ML 100ML USO ORALE O RETTALE;GASTROGRAFIN*soluz orale rett 100 ml 370 mg iodio/ml;13,26;8,04;-;BAYER SpA;023085020;AAJ;
Acido levofolinico;ACIDO LEVOFOLINICO 200MG 4ML 1 UNITA' USO PARENTERALE;SODIO LEVOFOLINATO*1 flaconcino 4 ml 50 mg/ml;26,73;16,20;-;MEDAC GMBH;042013021;ABM;
Acido levofolinico;ACIDO LEVOFOLINICO 450MG 9ML 1 UNITA' USO PARENTERALE;SODIO LEVOFOLINATO*1 flaconcino 9 ml 50 mg/ml;60,15;36,44;-;MEDAC GMBH;042013033;ABN;
Acido neridronico;ACIDO NERIDRONICO 100MG 2 UNITA' USO PARENTERALE;NERIXIA*2 fiale EV 100 mg;100,00;60,58;-;ABIOGEN PHARMA SpA;035268022;BKR;
Acido obeticolico;ACIDO OBETICOLICO 5MG 30 UNITA' USO ORALE;OCALIVA*30 cpr riv 5 mg flacone;4558,23;2761,90;-;ADVANZ PHARMA LIMITED;045222015;KDO;
Acido obeticolico;ACIDO OBETICOLICO 10MG 30 UNITA' USO ORALE;OCALIVA*30 cpr riv 10 mg flacone;4558,23;2761,90;-;ADVANZ PHARMA LIMITED;045222027;KDP;
Acido pamidronico;ACIDO PAMIDRONICO 30MG 10ML 2 UNITA' USO PARENTERALE;TEXPAMI*2 flaconi EV 30 mg/10 ml;102,89;62,34;-;PHARMATEX ITALIA Srl;036645024;ABT;
Acido pamidronico;ACIDO PAMIDRONICO 60MG 10ML 1 UNITA' USO PARENTERALE;TEXPAMI*1 flacone EV 60 mg/10 ml;99,28;60,15;-;PHARMATEX ITALIA Srl;036645036;ABU;
Acido pamidronico;ACIDO PAMIDRONICO 90MG 10ML 1 UNITA' USO PARENTERALE;TEXPAMI*1 flacone EV 90 mg/10 ml;150,72;91,32;-;PHARMATEX ITALIA Srl;036645048;ABW;
Acido para-aminosalicilico;ACIDO PARA-AMINOSALICILICO 4G 30 UNITA' USO ORALE;GRANUPAS*orale grat gastrores 30 bust 4 g;558,56;338,44;-;EUROCEPT INTERNATIONAL B.V.;043376019;CUP;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 100ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flacone soluz concentr infus 4 mg 100 ml;190,62;115,49;-;MEDAC GMBH;042333043;ABZ;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;FRESENIUS KABI ITALIA Srl;042277018;ACD;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;MEDAC GMBH;042333017;ACD;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;MYLAN PHARMACEUTICALS LIMITED;042342016;ACD;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;TILLOMED ITALIA Srl;044733018;ACD;
Acido zoledronico;ACIDO ZOLEDRONICO 5MG 100ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 sacca soluz INFUS EV 5 mg 100 ml;423,59;256,66;-;ALTAN PHARMA LIMITED;042337016;ACE;
Acido zoledronico;ACIDO ZOLEDRONICO 5MG 100ML 1 UNITA' USO PARENTERALE;ACLASTA*1 flaconcino EV 0,05 mg/ml 100 ml;529,49;320,82;-;SANDOZ PHARMACEUTICALS D.D.;037105018;ACE;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 10 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*10 flaconcini soluz concentr infus 4 mg 5 ml;1270,24;769,65;-;HIKMA FARMACEUTICA S.A.;041330022;CAW;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 10 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*10 flaconcini soluz infus 4 mg 5 ml;699,98;424,18;-;ACCORD HEALTHCARE SLU;043198035;CAW;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;AMGEVITA*2 penne preriempite sureclick SC 0,8 ml 40 mg;1273,29;771,50;-;AMGEN EUROPE B.V.;045317070;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;AMGEVITA*2 siringhe preriempite SC 0,8 ml 40 mg;1273,29;771,50;-;AMGEN EUROPE B.V.;045317031;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;HUMIRA*2 penne preriemp 0,4 ml 40 mg + 2 tamponi;1591,60;964,37;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946161;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;HYRIMOZ*2 penne preriemp SC 0,8 ml 40 mg;1130,03;684,71;-;SANDOZ GMBH;046889059;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;HYRIMOZ*2 penne preriempite SC 0,4 ml 40 mg;1130,03;684,71;-;SANDOZ GMBH;046889162;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;HYRIMOZ*2 siringhe preriempite SC 0,4 ml 40 mg;1130,03;684,71;-;SANDOZ GMBH;046889135;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;HYRIMOZ*2 siringhe preriempite SC 0,8 ml 40 mg;1130,03;684,71;-;SANDOZ GMBH;046889022;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;IDACIO*2 penne preriempite SC 0,8 ml 40 mg + 2 tamponi imbevuti di alcool;1130,04;684,71;-;FRESENIUS KABI DEUTSCH.GMBH;047805039;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;IDACIO*2 siringhe SC 0,8 ml 40 mg + 2 tamponi imbevuti di alcool;1130,04;684,71;-;FRESENIUS KABI DEUTSCH.GMBH;047805027;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;IMRALDI*2 penne preriempite SC 0,8 ml 40 mg;1130,03;684,71;-;SAMSUNG BIOEPIS NL B.V.;045616063;ACG;
Adalimumab;ADALIMUMAB 40MG 2 UNITA' USO PARENTERALE;IMRALDI*2 siringhe preriempite SC 0,8 ml 40 mg;1130,03;684,71;-;SAMSUNG BIOEPIS NL B.V.;045616024;ACG;
Adalimumab;ADALIMUMAB 40MG 4 UNITA' USO PARENTERALE;YUFLYMA*4 penne preriempite SC 0,4 ml 40 mg + 4 tamponi imbevuti di alcol;2260,09;1369,42;-;CELLTRION HEALTHCARE HUNG.KFT;049376116;ACH;
Adalimumab;ADALIMUMAB BB 40MG 2 UNITA' USO PARENTERALE;HUMIRA*2 siringhe SC 40 mg 0,4 ml + 2 tamponi;1591,60;964,37;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946122;BVG;
Adalimumab;ADALIMUMAB 40MG 0,4ML 1 UNITA' USO PARENTERALE;YUFLYMA*1 penna preriempita SC 0,4 ml 40 mg + 2 tamponi imbevuti di alcol;565,02;342,35;-;CELLTRION HEALTHCARE HUNG.KFT;049376092;JMW;
Adalimumab;ADALIMUMAB 40MG 0,4ML 1 UNITA' USO PARENTERALE;YUFLYMA*1 siringa preriempita SC 0,4 ml 40 mg con dispositivo sicurezza ago + 2 tamponi imbevuti di alcol;565,02;342,35;-;CELLTRION HEALTHCARE HUNG.KFT;049376054;JMW;
Adalimumab;ADALIMUMAB 40MG 0,4ML 6 UNITA' USO PARENTERALE;YUFLYMA*6 penne preriempite SC 0,4 ml 40 mg + 6 tamponi imbevuti di alcol;3390,11;2054,12;-;CELLTRION HEALTHCARE HUNG.KFT;049376128;JMX;
Adalimumab;ADALIMUMAB 80MG 0,8ML 1 UNITA' USO PARENTERALE;HUMIRA*1 penna preriemp 0,8 ml 80 mg + 2 tamponi;1591,60;964,37;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946209;KGC;
Adalimumab;ADALIMUMAB 80MG 0,8ML 1 UNITA' USO PARENTERALE;YUFLYMA*1 penna preriempita SC 0,8 ml 80 mg + 2 tamponi imbevuti di alcol;1130,03;684,71;-;CELLTRION HEALTHCARE HUNG.KFT;049376155;KGC;
Adalimumab;ADALIMUMAB 20MG 0,4ML 1 UNITA' USO PARENTERALE;AMGEVITA*1 siringa preriempita SC 0,4 ml 20 mg;318,32;192,87;-;AMGEN EUROPE B.V.;045317017;KPG;
Adalimumab;ADALIMUMAB BB 20MG 0,2ML 2 UNITA' USO PARENTERALE;HUMIRA*2 siringhe SC 20 mg 0,2 ml + 2 tamponi;795,81;482,19;-;ABBVIE DEUTSCHLAND GmbH&CO.KG;035946211;KPU;
Adalimumab;ADALIMUMAB BB 40MG 1 UNITA' USO PARENTERALE;IDACIO*1 flaconcino SC 0,8 ml 40 mg + 1 siringa + 1 ago + 1 adattatore + 2 tamponi;565,02;342,35;-;FRESENIUS KABI DEUTSCH.GMBH;047805015;LDC;
Adalimumab;ADALIMUMAB 80MG 0,8ML 3 UNITA' USO PARENTERALE;YUFLYMA*3 penne preriempite SC 0,8 ml 80 mg + 3 tamponi imbevuti di alcol;3390,13;2054,13;-;CELLTRION HEALTHCARE HUNG.KFT;049376167;MAK;
Adalimumab;ADALIMUMAB 40MG 0,4ML 2 UNITA' USO PARENTERALE;IMRALDI*2 penne preriemp SC 0,4 ml 40 mg + 2 tamponi imbevuti di alcool;1130,03;684,71;-;SAMSUNG BIOEPIS NL B.V.;045616152;MMM;
Adalimumab;ADALIMUMAB 40MG 0,4ML 2 UNITA' USO PARENTERALE;IMRALDI*2 siringhe preriemp SC 0,4 ml 40 mg + 2 tamponi imbevuti di alcool;1130,03;684,71;-;SAMSUNG BIOEPIS NL B.V.;045616113;MMM;
Adalimumab;ADALIMUMAB 20MG 2 UNITA' USO PARENTERALE;HYRIMOZ*2 siringhe preriempite SC 0,2 ml 20 mg;565,02;342,35;-;SANDOZ GMBH;046889198;MNI;
Adalimumab;ADALIMUMAB 20MG 2 UNITA' USO PARENTERALE;HYRIMOZ*2 siringhe preriempite SC 0,4 ml 20 mg con dispositivo di sicurezza dell'ago;565,02;342,35;-;SANDOZ GMBH;046889073;MNI;
Adalimumab;ADALIMUMAB 80MG 0,8ML 2 UNITA' USO PARENTERALE;HYRIMOZ*2 penne preriempite SC 0,8 ml 80 mg;2260,09;1369,42;-;SANDOZ GMBH;046889111;MXO;
Adrenalina;ADRENALINA 150MCG 0,30ML 1 UNITA' USO PARENTERALE;CHENPEN*1 siringa preriempita 150 mcg/0,3 ml;62,13;37,65;-;BIOPROJET PHARMA;040864011;ACI;
Adrenalina;ADRENALINA 150MCG 0,30ML 1 UNITA' USO PARENTERALE;FASTJEKT*1 penna preriempita 150 mcg;77,90;47,20;-;VIATRIS HEALTHCARE LIMITED;042416014;ACI;
Adrenalina;ADRENALINA 300MCG 0,30ML 1 UNITA' USO PARENTERALE;CHENPEN*1 siringa preriempita 300 mcg/0,3 ml;62,13;37,65;-;BIOPROJET PHARMA;040864023;ACL;
Adrenalina;ADRENALINA 300MCG 0,30ML 1 UNITA' USO PARENTERALE;FASTJEKT*1 penna preriempita 300 mcg;77,90;47,20;-;VIATRIS HEALTHCARE LIMITED;042416038;ACL;
Adrenalina;ADRENALINA 300MCG 0,30ML 1 UNITA' USO PARENTERALE;JEXT*1 penna IM 300 mcg;74,01;44,84;-;ALK-ABELLO' A/S;040585010;ACL;
Adrenalina;ADRENALINA 150MCG 0,15ML 1 UNITA' USO PARENTERALE;JEXT*1 penna IM 150 mcg;74,01;44,84;-;ALK-ABELLO' A/S;040585022;JVO;
Adrenalina;ADRENALINA 500 MCG 0,3ML 1 UNITA' USO PARENTERALE;CHENPEN*1 siringa preriempita 500 mcg/0,3 ml;62,13;37,64;-;BIOPROJET PHARMA;040864050;LFW;
Afatinib;AFATINIB 20MG 28 UNITA' USO ORALE;GIOTRIF*28 cpr riv 20 mg;3373,98;2044,34;-;BOEHRINGER INGELHEIM INT.GMBH;043023035;JAK;
Afatinib;AFATINIB 30MG 28 UNITA' USO ORALE;GIOTRIF*28 cpr riv 30 mg;3373,98;2044,34;-;BOEHRINGER INGELHEIM INT.GMBH;043023062;JAL;
Afatinib;AFATINIB 40MG 28 UNITA' USO ORALE;GIOTRIF*28 cpr riv 40 mg;3373,98;2044,34;-;BOEHRINGER INGELHEIM INT.GMBH;043023098;JAM;
Aflibercept;AFLIBERCEPT 3,6MG 40MG/ML 1 UNITA' USO INTRAVITREALE;EYLEA*1 flaconcino intravitreale 3,6 mg 40 mg/ml;1102,23;667,85;-;BAYER AG;042510026;CDY;
Aflibercept;AFLIBERCEPT 3,6MG 40MG/ML 1 UNITA' USO INTRAVITREALE;EYLEA*1 siringa preriempita intravitreale 40 mg/ml;1102,23;667,85;-;BAYER AG;042510014;CDY;
Aflibercept;AFLIBERCEPT 100MG 4ML 25MG/ML 1 UNITA' USO PARENTERALE;ZALTRAP*1 flacone EV 4 ml 100 mg 25 mg/ml;625,58;379,05;-;SANOFI-AVENTIS GROUPE;042689012;GPA;
Aflibercept;AFLIBERCEPT 200MG 8ML 25MG/ML 1 UNITA' USO PARENTERALE;ZALTRAP*1 flacone EV 8 ml 200 mg 25 mg/ml;1251,17;758,10;-;SANOFI-AVENTIS GROUPE;042689036;GPB;
Agalsidasi Alfa;AGALSIDASI ALFA 3,5MG 3,5ML 1 UNITA' USO PARENTERALE;REPLAGAL*1 flacone EV 1 mg/ml 3,5 ml;2539,69;1538,84;-;TAKEDA PHARM.INT.AG IR.BRANCH;035373012;ACO;
Agalsidasi Beta;AGALSIDASI BETA 35MG 1 UNITA' USO PARENTERALE;FABRAZYME*1 flaconcino EV 35 mg;5079,38;3077,67;-;GENZYME EUROPE B.V.;035275015;ACP;
Aldesleuchina;ALDESLEUCHINA 18.000.000UI 1 UNITA' USO PARENTERALE;PROLEUKIN*1 fiala EV 18.000.000 UI/ml;231,57;140,32;-;CLINIGEN HEALTHCARE B.V.;027131010;ACT;
Alectinib;ALECTINIB 150MG 224 UNITA' USO ORALE;ALECENSA*56x4 cps 150 mg;10128,50;6137,00;-;ROCHE REGISTRATION GMBH;045267010;KHU;
Alemtuzumab;ALEMTUZUMAB 12MG 1,2ML 1 UNITA' USO PARENTERALE;LEMTRADA*EV 12 mg 1,2 ml 1 flaconcino;13126,09;7953,29;-;SANOFI BELGIUM;043027010;CKY;
Alfa 1 Antitripsina Umana;ALFA 1 ANTITRIPSINA UMANA 1.000MG 40ML 1 UNITA' USO PARENTERALE;PROLASTIN*1 flaconcino EV 1.000 mg + 1 flaconcino solv 40 ml;528,13;320,00;-;INSTITUTO GRIFOLS S.A.;037709019;ACW;
Alfa 1 Antitripsina Umana;ALFA 1 ANTITRIPSINA UMANA 1.000MG 20ML 1 UNITA' USO PARENTERALE;RESPREEZA*1 flaconcino EV 1 g + 1 flaconcino solv 20 ml + 1 dispositivo di trasferimento;528,13;320,00;-;CSL BEHRING GmbH;044479018;CCS;
Alfa 1 Antitripsina Umana;ALFA 1 ANTITRIPSINA UMANA 4.000MG 76ML 1 UNITA' USO PARENTERALE;RESPREEZA*1 flaconcino EV 4 g + 1 flaconcino solv 76 ml + 1 dispositivo di trasferimento;2112,51;1280,00;-;CSL BEHRING GmbH;044479020;MER;
Alglucosidasi Alfa;ALGLUCOSIDASI ALFA 50MG 20ML 1 UNITA' USO PARENTERALE;MYOZYME*1 flaconcino 50 mg + 1 fiala 20 ml;819,22;496,38;-;GENZYME EUROPE B.V.;037174012;ACX;
Alitretinoina;ALITRETINOINA 10MG 30 UNITA' USO ORALE;ALITRECARE*30 cps molli 10 mg;370,08;224,24;-;DIFA COOPER SpA;047411018;ACY;
Alitretinoina;ALITRETINOINA 10MG 30 UNITA' USO ORALE;TOCTINO*30 cps molli 10 mg;616,65;373,64;-;STIEFEL LAB.LEGACY  ;038849016;ACY;
Alitretinoina;ALITRETINOINA 30MG 30 UNITA' USO ORALE;ALITRECARE*30 cps molli 30 mg;370,08;224,24;-;DIFA COOPER SpA;047411020;ACZ;
Alitretinoina;ALITRETINOINA 30MG 30 UNITA' USO ORALE;TOCTINO*30 cps molli 30 mg;616,65;373,64;-;STIEFEL LAB.LEGACY  ;038849030;ACZ;
Allergeni estratti da veleno di ape;ALLERGENI ESTRATTI DA VELENO DI APE 100.000 SQU/ML 1 UNITA' USO PARENTERALE;ALUTARD APIS MELLIFERA*100.000 SQ U/ml in flacone;819,22;496,38;-;ALK-ABELLO' A/S;045902018;LNP;
Allergeni estratti da veleno di ape;ALLERGENI ESTRATTI DA VELENO DI APE 5 UNITA' 5ML USO PARENTERALE;ALUTARD APIS MELLIFERA*1 flaconcino 100 SQ-U/ml 5 ml, 1 flaconcino 1.000 SQ-U/ml 5 ml,1 flaconcino 10.000 SQ-U/ml 5 ml, 1 flaconcino 100.000 SQ-U/ml 5 ml;819,22;496,38;-;ALK-ABELLO' A/S;045902020;LNQ;
Allergeni estratti da veleno di vespa;ALLERGENI ESTRATTI DA VELENO DI VESPA 100.000 SQU/ML 1 UNITA' USO PARENTERALE;ALUTARD VESPULA*100.000 SQ U/ml in flacone;819,22;496,38;-;ALK-ABELLO' A/S;045903010;LNR;
Allergeni estratti da veleno di vespa;ALLERGENI ESTRATTI DA VELENO DI VESPA 5 UNITA' 5ML USO PARENTERALE;ALUTARD VESPULA*1 flaconcino 100 SQ-U/ml 5 ml, 1 flaconcino 1.000 SQ-U/ml 5 ml, 1 flaconcino 10.000 SQ-U/ml 5 ml, 1 flaconcino 100.000 SQ-U/ml 5 ml;819,22;496,38;-;ALK-ABELLO' A/S;045903022;LNS;
Alpelisib;ALPELISIB 50MG+ 200MG 28 UNITA' USO ORALE;PIQRAY*28 cpr riv 50 mg + 28 cpr riv 200 mg;7149,53;4332,00;-;NOVARTIS EUROPHARM LTD;048918054;LHZ;
Alpelisib;ALPELISIB 200MG 28 UNITA' USO ORALE;PIQRAY*28 cpr riv 200 mg;7149,53;4332,00;-;NOVARTIS EUROPHARM LTD;048918080;LID;
Alpelisib;ALPELISIB 150MG 56 UNITA' USO ORALE;PIQRAY*56 cpr riv 150 mg;7149,53;4332,00;-;NOVARTIS EUROPHARM LTD;048918027;LIE;
Alprostadil;ALPROSTADIL 20MCG 1 UNITA' USO PARENTERALE;ALPROSTAR*1 fiala EV EA 20 mcg;14,44;6,56;-;RECORDATI SpA;027666015;ADH;
Alprostadil;ALPROSTADIL 500MCG 1ML 1 UNITA' USO PARENTERALE;PROSTIN VR*1 fiala EV 500 mcg 1 ml;66,97;30,44;-;PFIZER ITALIA Srl;026381020;ADI;
Alprostadil;ALPROSTADIL 60MCG 1 UNITA' USO PARENTERALE;ALPROSTAR*1 fiala EV EA 60 mcg;31,97;19,37;-;RECORDATI SpA;027666039;ADJ;
