Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Prezzo al pubblico �,Titolare AIC,AIC,Codice Gruppo Equivalenza,X=in lista di trasparenza Aifa 15/10/2024,Solo in lista di Regione:,Metri cubi ossigeno
Aceclofenac,ACECLOFENAC 100MG 30 UNITA' USO ORALE,AIRTAL*orale sosp polv 30 bust 100 mg,"7,73",ALMIRALL S.A.,32773032,B5A,X,,
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,GLADIO*40 cpr riv 100 mg,"10,57",ABIOGEN PHARMA SpA,31220015,B5B,X,,
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,KAFENAC*40 cpr riv 100 mg,"10,26",ALMIRALL S.A.,31842014,B5B,X,,
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,AIRTAL*40 cpr riv 100 mg,"10,26",ALMIRALL S.A.,32773020,B5B,X,,
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,ACECLOFENAC*40 cpr riv 100 mg,"5,64",ACCORD HEALTHCARE SLU,42403042,B5B,X,,
Aceclofenac,ACECLOFENAC 100MG 40 UNITA' USO ORALE,ACECLOFENAC*40 cpr riv 100 mg,"5,64",EG SpA,43259035,B5B,X,,
Acenocumarolo,ACENOCUMAROLO 1MG 20 UNITA' USO ORALE,SINTROM*20 cpr 1 mg,"1,91",MERUS LABS LUXCO II SARL,11782024,H2A,,,
Acenocumarolo,ACENOCUMAROLO 4MG 20 UNITA' USO ORALE,SINTROM*20 cpr 4 mg,"2,03",MERUS LABS LUXCO II SARL,11782012,H2B,,,
Acetazolamide,ACETAZOLAMIDE 250MG 12 UNITA' USO ORALE,DIAMOX*12 cpr 250 mg,"4,57",TEOFARMA Srl,9277017,H3A,,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ZOVIRAX*FORTE orale sosp 100 ml 8% flacone,"21,23",GLAXOSMITHKLINE SpA,25298086,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,"13,90",TEVA ITALIA Srl,28467049,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLIN*orale sosp 100 ml 8% flacone,"13,90",FIDIA FARMACEUTICI SpA,28614129,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 400 mg/5 ml flacone,"13,90",ACCORD HEALTHCARE SLU,31846025,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,"13,90",EG SpA,32307035,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,"13,90",S.F. GROUP Srl,33429022,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8%,"13,90",ABC FARMACEUTICI SpA,33482023,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,"13,90",DOC GENERICI Srl,33551060,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,"13,90",SANDOZ SpA,33731035,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,"13,90",ALMUS Srl,33868023,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,"13,90",MYLAN SpA,34738056,26A,X,,
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,"13,90",AUROBINDO PHARMA ITALIA Srl,36035032,26A,X,,
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ZOVIRAX*25 cpr 200 mg,"18,08",GLAXOSMITHKLINE SpA,25298050,26B,X,,
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 200 mg,"11,29",EG SpA,32307011,26B,X,,
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 200 mg,"11,29",AUROBINDO PHARMA ITALIA Srl,46032013,26B,X,,
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 200 mg,"11,29",ZENTIVA ITALIA Srl,46277012,26B,X,,
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 200 mg,"11,29",TOWA PHARMACEUTICAL SpA,50312014,26B,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ZOVIRAX*25 cpr 400 mg,"15,18",GLAXOSMITHKLINE SpA,25298074,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,"9,01",TEVA ITALIA Srl,28467037,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLIN*25 cpr 400 mg,"9,01",FIDIA FARMACEUTICI SpA,28614055,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,CIVRAL*25 cpr 400 mg,"9,01",PHARMABER Srl,28920039,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,"9,01",EG SpA,32307023,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,"9,01",DOC GENERICI Srl,33551021,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,"9,01",SANDOZ SpA,33731011,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,"9,01",MYLAN SpA,34738031,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,SINAFID*25 cpr 400 mg,"9,01",FIDIA FARMACEUTICI SpA,37290018,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,"9,01",AUROBINDO PHARMA ITALIA Srl,46032049,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,"9,01",ZENTIVA ITALIA Srl,46277036,26C,X,,
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,"9,01",TOWA PHARMACEUTICAL SpA,50312026,26C,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ZOVIRAX*35 cpr 800 mg,"52,01",GLAXOSMITHKLINE SpA,25298124,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",TEVA ITALIA Srl,28467064,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,CITIVIR*35 cpr 800 mg,"31,59",C.T. LAB.FARMACEUTICO Srl,28528077,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLIN*35 cpr 800 mg,"25,04",FIDIA FARMACEUTICI SpA,28614081,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",ACCORD HEALTHCARE SLU,31846049,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",EG SpA,32307086,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",S.F. GROUP Srl,33429046,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,AMODIVYR*35 cpr 800 mg,"25,04",DYMALIFE PHARMACEUTICAL Srl,33471018,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",ABC FARMACEUTICI SpA,33482047,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",DOC GENERICI Srl,33551072,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",SANDOZ SpA,33731050,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",ALMUS Srl,33868011,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",TOWA PHARMACEUTICAL SpA,34583031,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",MYLAN SpA,34738043,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,TUCLOR*35 cpr 800 mg,"25,04",LANOVA FARMACEUTICI Srl,35005014,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",AUROBINDO PHARMA ITALIA Srl,36035018,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",LABORATORI ALTER Srl,36110017,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",AUROBINDO PHARMA ITALIA Srl,46032052,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",ZENTIVA ITALIA Srl,46277063,26E,X,,
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,"25,04",TOWA PHARMACEUTICAL SpA,50312038,26E,X,,
Aciclovir,ACICLOVIR 250MG 5 UNITA' USO PARENTERALE,ACICLOVIR*5 fiale EV 250 mg,"80,54",RECORDATI SpA,33672027,26I,,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 75MG 30 UNITA' USO ORALE,CARDIRENE*30 bust polv orale 75 mg,"2,32",SANOFI Srl,28717041,H4A,,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,CARDIOASPIRIN*30 cpr gastrores 100 mg,"2,35",BAYER SpA,24840074,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,"1,41",DOC GENERICI Srl,42179010,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,"1,41",EG SpA,42180048,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,"1,41",TEVA ITALIA Srl,42207011,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,"1,41",KRKA D.D.NOVO MESTO,44822029,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,"1,41",ARISTO PHARMA GMBH,46280018,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,"1,41",MYLAN SpA,47065014,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,"1,41",AUROBINDO PHARMA ITALIA Srl,48150015,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,"1,41",TECNIGEN Srl,48958019,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,"1,41",ZENTIVA ITALIA Srl,49648013,H4B,X,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 160MG 30 UNITA' USO ORALE,CARDIRENE*30 bust polv orale 160 mg,"3,00",SANOFI Srl,28717015,H4C,,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 300MG 30 UNITA' USO ORALE,CARDIRENE*30 bust polv orale 300 mg,"3,00",SANOFI Srl,28717027,H4D,,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 1.000MG 6 UNITA' USO PARENTERALE,MUSKIDOL*6 fiale IM EV 1 g + 6 fiale solv 5 ml,"10,97",PANMEDICA,22620191,H4E,,,
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' POLVERE USO ORALE,CARDIRENE*orale polv 30 bust 100 mg,"2,40",SANOFI Srl,28717039,H4F,,,
Acido acetilsalicilico/magnesio idrossido/algeldrato,ACIDO ACETILSALICILICO+MAGNESIO IDROSSIDO+ALGELDRATO 300MG 20 UNITA' USO ORALE,ASCRIPTIN*20 cpr div 300 mg + 80 mg + 70 mg,"2,32",ACARPIA FARMACEUTICI Srl,23075029,H5A,,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDROS*4 cpr 70 mg,"13,14",ABIOGEN PHARMA SpA,29051075,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,FOSAMAX*4 cpr 70 mg,"20,07",ORGANON ITALIA Srl,29052077,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ADRONAT*4 cpr 70 mg,"16,48",NEOPHARMED GENTILI SpA,29053079,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,GENALEN*4 cpr 70 mg,"17,98",NEOPHARMED GENTILI SpA,34172054,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,OSTEUM*4 cpr 70 mg,"13,48",PHARMACARE Srl,37085089,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr 70 mg,"13,48",EG SpA,37194089,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr 70 mg,"13,48",MYLAN SpA,37198013,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,PORONAL*4 cpr riv 70 mg,"13,48",KONPHARMA Srl,37443013,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ASTON*4 cpr riv 70 mg,"11,94",S.F. GROUP Srl,37444015,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,REALEN*4 cpr riv 70 mg,"13,48",IST.CHIM.INTERNAZ. RENDE Srl,37461011,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr riv 70 mg,"13,48",ALMUS Srl,37499011,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,GLAMOR*4 cpr riv 70 mg,"13,48",AGIPS FARMACEUTICI Srl,37500016,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ACIDO ALENDRONICO*4 cpr 70 mg,"13,48",ZENTIVA ITALIA Srl,37514015,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ACIDO ALENDRONICO*4 cpr 70 mg,"13,48",FG S.r.l.,37515018,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,PORODRON*4 cpr 70 mg,"13,49",DYMALIFE PHARMACEUTICAL Srl,37519016,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr 70 mg,"13,48",DOC GENERICI Srl,37520018,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENIC*4 cpr 70 mg,"13,48",EPIFARMA Srl,37521010,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,DORYX*4 cpr 70 mg,"11,94",EBERLIFE FARMACEUTICI SpA,37644010,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr 70 mg,"13,48",SUN PHARMACEUTICAL IND.EU.B.V.,38006108,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,LOSS*4 cpr riv 70 mg,"13,48",SO.SE.PHARM Srl,38296012,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,NOFRATTIL*4 cpr riv 70 mg,"11,94",S.F. GROUP Srl,38297014,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr 70 mg,"13,48",TEVA B.V.,38317020,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr riv 70 mg,"13,48",SANDOZ GMBH,38408023,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr 70 mg,"13,48",GENETIC SpA,38649012,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ACIDO ALENDRONICO*4 cpr 70 mg,"11,94",AUROBINDO PHARMA ITALIA Srl,41256227,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ACIDO ALENDRONICO*4 cpr riv 70 mg,"11,94",LABORATORI ALTER Srl,41538024,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ACIDO ALENDRONICO*4 cpr riv 70 mg,"11,94",TECNIGEN Srl,43119015,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,FOSAMAX*4 cpr 70 mg,"18,67",GMM FARMA Srl,47397017,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,FOSAMAX*4 cpr 70 mg,"18,67",FARMA 1000 Srl,50142013,CQA,X,,
Acido alendronico,ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE,ADRONAT*14 cpr 10 mg,"17,22",NEOPHARMED GENTILI SpA,29053030,CQB,,,
Acido alendronico,ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE,GENALEN*14 cpr 10 mg,"17,22",NEOPHARMED GENTILI SpA,34172015,CQB,,,
Acido alendronico,ACIDO ALENDRONICO 70MG 100ML 4 UNITA' USO ORALE,BONASOL*orale soluz 4 flaconi 70 mg 100 ml,"16,18",BRUNO FARMACEUTICI SpA,40622033,CQC,,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,ALENDRONATO*12 cpr 70 mg,"25,20",EG SpA,37194103,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,ASTON*12 cpr riv 70 mg,"25,20",S.F. GROUP Srl,37444027,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,PORODRON*12 cpr 70 mg,"28,07",DYMALIFE PHARMACEUTICAL Srl,37519028,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,ALENDRONATO*12 cpr 70 mg,"25,20",DOC GENERICI Srl,37520020,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,DRALENOS*12 cpr 70 mg,"28,20",I.B.N. SAVIO Srl,38031163,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,LOSS*12 cpr riv 70 mg,"25,20",SO.SE.PHARM Srl,38296024,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,ALENDRONATO*12 cpr 70 mg,"25,20",TEVA B.V.,38317044,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,ALENDRONATO*12 cpr riv 70 mg,"25,20",SANDOZ GMBH,38408047,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,ALENDRONATO*12 cpr 70 mg,"25,20",GENETIC SpA,38649024,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,ACIDO ALENDRONICO*12 cpr 70 mg,"25,20",AUROBINDO PHARMA ITALIA Srl,41256241,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE,ACIDO ALENDRONICO*12 cpr riv 70 mg,"25,20",LABORATORI ALTER Srl,41538048,CQD,X,,
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' EFFERVESCENTI USO ORALE,BINOSTO*4 cpr eff 70 mg,"16,18",ABIOGEN PHARMA SpA,40246011,JBX,,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,FOSAVANCE*4 cpr 70 mg + 2.800 UI,"18,14",ORGANON N.V.,36845028,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,ADROVANCE*4 cpr 70 mg + 2.800 UI,"18,65",ORGANON N.V.,37603026,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,VANTAVO*4 cpr 70 mg + 2.800 UI,"17,90",ORGANON N.V.,39641028,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI confezione calendario,"11,23",TEVA ITALIA Srl,44405037,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI,"11,23",ZENTIVA ITALIA Srl,44520029,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI,"11,23",ARISTO PHARMA GMBH,44579011,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,ACIDO ALENDRONICO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI,"11,23",AUROBINDO PHARMA ITALIA Srl,44670014,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI,"11,23",MYLAN SpA,44986014,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2.800 UI,"11,23",DOC GENERICI Srl,45284015,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 2.800UI 4 UNITA' USO ORALE,ALENDRONATO E COLECALCIFEROLO*4 cpr 70 mg + 2800 UI,"11,23",ACCORD HEALTHCARE SLU,46006019,H6A,X,,
Acido alendronico/Colecalciferolo,ACIDO ALENDRONICO+COLECALCIFEROLO 70MG + 5.600UI 4 UNITA' USO ORALE,FOSAVANCE*4 cpr 70 mg + 5.600 UI,"17,10",ORGANON N.V.,36845079,H6B,X,,
