Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,ATC,URL,PDF URL,4.1 Indicazioni terapeutiche,4.2 Posologia e modo di somministrazione,4.3 Controindicazioni,4.4 Avvertenze speciali e precauzioni di impiego,4.5 Interazioni con altri medicinali ed altre forme di interazione,"4.6 Fertilità, gravidanza e allattamento",4.7 Effetti sulla capacità di guidare veicoli e sull’uso di macchinari,4.8 Effetti indesiderati,4.9 Sovradosaggio,6.2 Incompatibilità
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,TEVA ITALIA Srl,28467049,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLIN*orale sosp 100 ml 8% flacone,FIDIA FARMACEUTICI SpA,28614129,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 400 mg/5 ml flacone,ACCORD HEALTHCARE SLU,31846025,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,EG SpA,32307035,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,S.F. GROUP Srl,33429022,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8%,ABC FARMACEUTICI SpA,33482023,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,DOC GENERICI Srl,33551060,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,SANDOZ SpA,33731035,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,ALMUS Srl,33868023,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,MYLAN SpA,34738056,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 8% 100ML USO ORALE,ACICLOVIR*orale sosp 100 ml 8% flacone,AUROBINDO PHARMA ITALIA Srl,36035032,26A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ZOVIRAX*25 cpr 200 mg,GLAXOSMITHKLINE SpA,25298050,26B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 200 mg,EG SpA,32307011,26B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 200 mg,AUROBINDO PHARMA ITALIA Srl,46032013,26B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 200 mg,ZENTIVA ITALIA Srl,46277012,26B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 200MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 200 mg,TOWA PHARMACEUTICAL SpA,50312014,26B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ZOVIRAX*25 cpr 400 mg,GLAXOSMITHKLINE SpA,25298074,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,TEVA ITALIA Srl,28467037,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLIN*25 cpr 400 mg,FIDIA FARMACEUTICI SpA,28614055,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,CIVRAL*25 cpr 400 mg,PHARMABER Srl,28920039,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,EG SpA,32307023,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,DOC GENERICI Srl,33551021,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,SANDOZ SpA,33731011,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,MYLAN SpA,34738031,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,SINAFID*25 cpr 400 mg,FIDIA FARMACEUTICI SpA,37290018,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,AUROBINDO PHARMA ITALIA Srl,46032049,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,ZENTIVA ITALIA Srl,46277036,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 400MG 25 UNITA' USO ORALE,ACICLOVIR*25 cpr 400 mg,TOWA PHARMACEUTICAL SpA,50312026,26C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ZOVIRAX*35 cpr 800 mg,GLAXOSMITHKLINE SpA,25298124,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,TEVA ITALIA Srl,28467064,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,CITIVIR*35 cpr 800 mg,C.T. LAB.FARMACEUTICO Srl,28528077,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLIN*35 cpr 800 mg,FIDIA FARMACEUTICI SpA,28614081,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,ACCORD HEALTHCARE SLU,31846049,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,EG SpA,32307086,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,S.F. GROUP Srl,33429046,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,AMODIVYR*35 cpr 800 mg,DYMALIFE PHARMACEUTICAL Srl,33471018,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,ABC FARMACEUTICI SpA,33482047,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,DOC GENERICI Srl,33551072,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,SANDOZ SpA,33731050,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,ALMUS Srl,33868011,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,TOWA PHARMACEUTICAL SpA,34583031,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,MYLAN SpA,34738043,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,TUCLOR*35 cpr 800 mg,LANOVA FARMACEUTICI Srl,35005014,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,AUROBINDO PHARMA ITALIA Srl,36035018,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,LABORATORI ALTER Srl,36110017,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,AUROBINDO PHARMA ITALIA Srl,46032052,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,ZENTIVA ITALIA Srl,46277063,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 800MG 35 UNITA' USO ORALE,ACICLOVIR*35 cpr 800 mg,TOWA PHARMACEUTICAL SpA,50312038,26E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aciclovir,ACICLOVIR 250MG 5 UNITA' USO PARENTERALE,ACICLOVIR*5 fiale EV 250 mg,RECORDATI SpA,33672027,26I,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 75MG 30 UNITA' USO ORALE,CARDIRENE*30 bust polv orale 75 mg,SANOFI Srl,28717041,H4A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,CARDIOASPIRIN*30 cpr gastrores 100 mg,BAYER SpA,24840074,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,DOC GENERICI Srl,42179010,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,EG SpA,42180048,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,TEVA ITALIA Srl,42207011,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,KRKA D.D.NOVO MESTO,44822029,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,ARISTO PHARMA GMBH,46280018,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,MYLAN SpA,47065014,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,AUROBINDO PHARMA ITALIA Srl,48150015,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,TECNIGEN Srl,48958019,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE,ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg,ZENTIVA ITALIA Srl,49648013,H4B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 160MG 30 UNITA' USO ORALE,CARDIRENE*30 bust polv orale 160 mg,SANOFI Srl,28717015,H4C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 300MG 30 UNITA' USO ORALE,CARDIRENE*30 bust polv orale 300 mg,SANOFI Srl,28717027,H4D,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 1.000MG 6 UNITA' USO PARENTERALE,MUSKIDOL*6 fiale IM EV 1 g + 6 fiale solv 5 ml,PANMEDICA,22620191,H4E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico,ACIDO ACETILSALICILICO 100MG 30 UNITA' POLVERE USO ORALE,CARDIRENE*orale polv 30 bust 100 mg,SANOFI Srl,28717039,H4F,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido acetilsalicilico/magnesio idrossido/algeldrato,ACIDO ACETILSALICILICO+MAGNESIO IDROSSIDO+ALGELDRATO 300MG 20 UNITA' USO ORALE,ASCRIPTIN*20 cpr div 300 mg + 80 mg + 70 mg,ACARPIA FARMACEUTICI Srl,23075029,H5A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDROS*4 cpr 70 mg,ABIOGEN PHARMA SpA,29051075,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,FOSAMAX*4 cpr 70 mg,ORGANON ITALIA Srl,29052077,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ADRONAT*4 cpr 70 mg,NEOPHARMED GENTILI SpA,29053079,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,GENALEN*4 cpr 70 mg,NEOPHARMED GENTILI SpA,34172054,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,OSTEUM*4 cpr 70 mg,PHARMACARE Srl,37085089,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr 70 mg,EG SpA,37194089,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ALENDRONATO*4 cpr 70 mg,MYLAN SpA,37198013,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,PORONAL*4 cpr riv 70 mg,KONPHARMA Srl,37443013,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,ASTON*4 cpr riv 70 mg,S.F. GROUP Srl,37444015,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Acido alendronico,ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE,REALEN*4 cpr riv 70 mg,IST.CHIM.INTERNAZ. RENDE Srl,37461011,CQA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
